_id,gigsterApproved,pmApproved,seApproved
ObjectId(54876753514a45020071633e),%!s(bool=false),,
ObjectId(5487e567514a450200716345),%!s(bool=false),,
ObjectId(5487fa0d514a45020071634c),%!s(bool=false),,
ObjectId(5488073c514a450200716350),%!s(bool=false),,
ObjectId(5488816df3f72002002c8fae),%!s(bool=false),,
ObjectId(5488a99adc41d202000e89b8),%!s(bool=false),,
ObjectId(5488ce31680d0602001e70a4),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(5489387e680d0602001e70cb),%!s(bool=false),,
ObjectId(5489c577680d0602001e70f5),%!s(bool=false),,
ObjectId(548fe69fb0a6690200affd59),%!s(bool=false),,
ObjectId(548fe69fb0a6690200affd5a),%!s(bool=false),,
ObjectId(54924e8fa078fc02004fe28d),%!s(bool=false),,
ObjectId(54948a6a6d61a5020037e54a),%!s(bool=false),,
ObjectId(54988b03315fe3020021397e),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(5499cb9ed8857102005234cd),%!s(bool=false),,
ObjectId(549f0a0a7f131c0200ae5e00),%!s(bool=false),,
ObjectId(54a533cda21cb802005b7fe6),%!s(bool=false),,
ObjectId(54aa21a4820c260200aae9d2),%!s(bool=false),,
ObjectId(54b148ec532a570200b27f59),%!s(bool=false),,
ObjectId(54b167ff532a570200b27f5b),%!s(bool=false),,
ObjectId(54b1f8c52c33c902009f3029),%!s(bool=false),,
ObjectId(54c9c2e9ce9bbf03005edc5f),%!s(bool=false),,
ObjectId(54c9c7cece9bbf03005edc62),%!s(bool=false),,
ObjectId(54c9d6bd5f5cda030067f3a2),%!s(bool=false),,
ObjectId(54ca7a555f5cda030067f3a6),%!s(bool=false),,
ObjectId(54ca9fadaed03d03009baf0a),%!s(bool=false),,
ObjectId(54cb2c4aaed03d03009baf12),%!s(bool=false),,
ObjectId(54cc0b796a98c303008073b9),%!s(bool=false),,
ObjectId(54cc1af16a98c303008073bd),%!s(bool=false),,
ObjectId(54cd6ec66a211e0300c74a08),%!s(bool=false),,
ObjectId(54cee8bd6b773a0300da4cc5),%!s(bool=false),,
ObjectId(54d08d8a60644803001b6d7f),%!s(bool=false),,
ObjectId(54d0e97460644803001b6d83),%!s(bool=false),,
ObjectId(54d12c3360644803001b6d86),%!s(bool=false),,
ObjectId(54d1508660644803001b6d8b),%!s(bool=false),,
ObjectId(54d1522d60644803001b6d8e),%!s(bool=false),,
ObjectId(54d1590b60644803001b6d91),%!s(bool=false),,
ObjectId(54d1906ec2c50a03002c8907),%!s(bool=false),,
ObjectId(54d1a684c2c50a03002c890b),%!s(bool=false),,
ObjectId(54d1ccd8c2c50a03002c890e),%!s(bool=false),,
ObjectId(54d3904da0baa403001f7f7a),%!s(bool=false),,
ObjectId(54d6bcb6b203c90300fb13b7),%!s(bool=false),,
ObjectId(54d837afea2af40300d4940c),%!s(bool=false),,
ObjectId(54d8b182ea2af40300d4940e),%!s(bool=false),,
ObjectId(54d9e97b2b777003005aebb8),%!s(bool=false),,
ObjectId(54da34b7d5fa5a03002f2b1d),%!s(bool=false),,
ObjectId(54da67cbd5fa5a03002f2b22),%!s(bool=false),,
ObjectId(54db1769d5fa5a03002f2b25),%!s(bool=false),,
ObjectId(54dc217b5c058e030068b19d),%!s(bool=false),,
ObjectId(54de8e2f6effeb03004cb268),%!s(bool=false),,
ObjectId(54df3807bdec7a0300badb69),%!s(bool=false),,
ObjectId(54e3647bb0a7ed0300e53262),%!s(bool=false),,
ObjectId(54e3d0a7b0a7ed0300e53269),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(54e3ebecb0a7ed0300e5326b),%!s(bool=false),,
ObjectId(54e431c9b0a7ed0300e5326e),%!s(bool=false),,
ObjectId(54e443cdb0a7ed0300e53271),%!s(bool=false),,
ObjectId(54e6a3e2f201370300571322),%!s(bool=false),,
ObjectId(54e7a4bb3b78830300512a39),%!s(bool=false),,
ObjectId(54ed3d87b2879a0300431a04),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(54edc5afc9870203009fa7c4),%!s(bool=false),%!s(bool=false),
ObjectId(54ef93f89a637a0300d4f0d3),%!s(bool=false),%!s(bool=false),
ObjectId(54efa1929a637a0300d4f0e1),%!s(bool=false),%!s(bool=false),
ObjectId(54f4a2f3e6cfeb0300cc0ad7),%!s(bool=false),%!s(bool=false),
ObjectId(54f52276f2f5ab030024db83),%!s(bool=false),%!s(bool=true),%!s(bool=false)
ObjectId(54f737c856d68d0300344f83),%!s(bool=false),%!s(bool=false),
ObjectId(54f8a35cab2d580300fbe98f),%!s(bool=false),%!s(bool=true),%!s(bool=false)
ObjectId(54f8e6eb7045d303004a14db),%!s(bool=false),%!s(bool=true),%!s(bool=false)
ObjectId(54fa4de03ebe8c03003ce38e),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(54fa677af8ed670300431b8b),%!s(bool=false),%!s(bool=false),%!s(bool=false)
ObjectId(54fb89cff8ed670300431b98),%!s(bool=true),%!s(bool=true),%!s(bool=false)
ObjectId(54fd200ff4bfe10300a44acb),%!s(bool=false),%!s(bool=false),
ObjectId(55072b1576ebba0300449b7a),%!s(bool=false),%!s(bool=false),
ObjectId(550b64e027cf4f0300e3bee3),%!s(bool=false),%!s(bool=false),
ObjectId(550b8a910b99fe030019df94),%!s(bool=false),%!s(bool=false),
ObjectId(550f30d8c2c476030073de3e),%!s(bool=false),%!s(bool=false),
ObjectId(5512f669f30d3603003689a4),%!s(bool=false),%!s(bool=false),
ObjectId(5513cfc7c111b10300fe1861),%!s(bool=false),%!s(bool=false),
ObjectId(55163aab6f1a1e0300b7cb18),%!s(bool=false),%!s(bool=false),
ObjectId(55163bdbb484b103001b830f),%!s(bool=false),%!s(bool=false),
ObjectId(55183ffd25ab76030072707c),%!s(bool=false),%!s(bool=false),
ObjectId(551a51ea9959c903003b4108),%!s(bool=false),%!s(bool=false),
ObjectId(551b885f9959c903003b412b),%!s(bool=false),%!s(bool=true),%!s(bool=false)
ObjectId(551bb7d67f5f370300743432),%!s(bool=false),%!s(bool=false),
ObjectId(551c48897f5f370300743445),%!s(bool=false),%!s(bool=false),
ObjectId(551c53bc57e19f030010c513),%!s(bool=false),%!s(bool=false),
ObjectId(551cb7f357e19f030010c51d),%!s(bool=false),%!s(bool=false),
ObjectId(551cbe5a7f5f370300743451),%!s(bool=true),%!s(bool=false),%!s(bool=false)
